ì¹´í…Œê³ ë¦¬: ëª¨ë“  ì¹´í…Œê³ ë¦¬,,
,LGÈ­ÇÐ,
,À¥,À¯Æ©ºê
2017-12-31,27,0
2018-01-07,27,6
2018-01-14,31,6
2018-01-21,18,6
2018-01-28,30,12
2018-02-04,29,16
2018-02-11,13,7
2018-02-18,26,0
2018-02-25,15,0
2018-03-04,31,8
2018-03-11,67,23
2018-03-18,24,7
2018-03-25,25,0
2018-04-01,18,0
2018-04-08,20,14
2018-04-15,28,7
2018-04-22,24,14
2018-04-29,25,18
2018-05-06,32,10
2018-05-13,25,7
2018-05-20,29,13
2018-05-27,29,14
2018-06-03,24,20
2018-06-10,18,10
2018-06-17,20,7
2018-06-24,19,7
2018-07-01,16,10
2018-07-08,19,12
2018-07-15,20,16
2018-07-22,21,20
2018-07-29,25,12
2018-08-05,22,12
2018-08-12,19,24
2018-08-19,26,12
2018-08-26,38,12
2018-09-02,50,26
2018-09-09,91,35
2018-09-16,18,25
2018-09-23,14,34
2018-09-30,24,17
2018-10-07,23,13
2018-10-14,28,62
2018-10-21,41,28
2018-10-28,42,30
2018-11-04,34,12
2018-11-11,28,19
2018-11-18,21,12
2018-11-25,36,14
2018-12-02,31,9
2018-12-09,26,9
2018-12-16,25,5
2018-12-23,15,9
2018-12-30,26,15
2019-01-06,23,21
2019-01-13,20,18
2019-01-20,20,6
2019-01-27,31,21
2019-02-03,17,6
2019-02-10,28,14
2019-02-17,21,12
2019-02-24,36,14
2019-03-03,60,39
2019-03-10,100,57
2019-03-17,38,14
2019-03-24,24,21
2019-03-31,25,19
2019-04-07,24,17
2019-04-14,32,25
2019-04-21,27,27
2019-04-28,34,25
2019-05-05,24,12
2019-05-12,28,26
2019-05-19,25,17
2019-05-26,25,17
2019-06-02,26,0
2019-06-09,28,25
2019-06-16,27,34
2019-06-23,14,0
2019-06-30,21,0
2019-07-07,26,0
2019-07-14,25,0
2019-07-21,30,18
2019-07-28,21,23
2019-08-04,22,27
2019-08-11,17,0
2019-08-18,26,31
2019-08-25,28,31
2019-09-01,33,31
2019-09-08,29,49
2019-09-15,75,80
2019-09-22,30,31
2019-09-29,36,0
2019-10-06,32,96
2019-10-13,30,0
2019-10-20,43,32
2019-10-27,27,66
2019-11-03,38,100
2019-11-10,25,67
2019-11-17,24,0
2019-11-24,37,0
2019-12-01,22,33
2019-12-08,36,34
2019-12-15,19,66
2019-12-22,18,0
2019-12-29,17,33
2020-01-05,25,48
2020-01-12,30,0
2020-01-19,29,34
2020-01-26,35,0
2020-02-02,35,0
2020-02-09,38,78
2020-02-16,38,92
2020-02-23,27,0
2020-03-01,39,27
2020-03-08,30,41
2020-03-15,44,27
2020-03-22,43,35
2020-03-29,35,31
2020-04-05,38,0
2020-04-12,29,52
2020-04-19,37,38
2020-04-26,26,57
