카테고리: 모든 카테고리,,
,,
주,웹,유튜브
2017-12-31,79,63
2018-01-07,73,47
2018-01-14,78,55
2018-01-21,79,42
2018-01-28,77,37
2018-02-04,77,40
2018-02-11,82,39
2018-02-18,82,34
2018-02-25,82,22
2018-03-04,83,37
2018-03-11,88,26
2018-03-18,91,40
2018-03-25,96,21
2018-04-01,100,41
2018-04-08,99,47
2018-04-15,93,22
2018-04-22,93,36
2018-04-29,93,37
2018-05-06,87,32
2018-05-13,92,26
2018-05-20,95,29
2018-05-27,96,35
2018-06-03,95,32
2018-06-10,99,32
2018-06-17,96,28
2018-06-24,94,21
2018-07-01,90,29
2018-07-08,92,14
2018-07-15,90,30
2018-07-22,86,21
2018-07-29,86,30
2018-08-05,84,28
2018-08-12,84,17
2018-08-19,89,17
2018-08-26,95,24
2018-09-02,96,26
2018-09-09,94,31
2018-09-16,84,29
2018-09-23,86,14
2018-09-30,89,21
2018-10-07,84,22
2018-10-14,83,24
2018-10-21,81,27
2018-10-28,81,21
2018-11-04,83,27
2018-11-11,92,29
2018-11-18,93,21
2018-11-25,88,25
2018-12-02,89,21
2018-12-09,86,29
2018-12-16,85,26
2018-12-23,83,16
2018-12-30,83,20
2019-01-06,77,21
2019-01-13,75,25
2019-01-20,85,22
2019-01-27,78,22
2019-02-03,78,14
2019-02-10,75,23
2019-02-17,75,16
2019-02-24,76,21
2019-03-03,85,16
2019-03-10,90,26
2019-03-17,84,14
2019-03-24,90,21
2019-03-31,87,36
2019-04-07,86,30
2019-04-14,83,19
2019-04-21,82,30
2019-04-28,80,23
2019-05-05,82,27
2019-05-12,89,45
2019-05-19,86,74
2019-05-26,92,30
2019-06-02,87,33
2019-06-09,89,39
2019-06-16,88,39
2019-06-23,77,55
2019-06-30,74,47
2019-07-07,78,79
2019-07-14,79,42
2019-07-21,79,32
2019-07-28,78,52
2019-08-04,80,23
2019-08-11,77,52
2019-08-18,83,35
2019-08-25,85,70
2019-09-01,82,96
2019-09-08,78,56
2019-09-15,82,46
2019-09-22,81,53
2019-09-29,80,39
2019-10-06,78,54
2019-10-13,82,56
2019-10-20,80,64
2019-10-27,77,38
2019-11-03,83,43
2019-11-10,79,100
2019-11-17,77,43
2019-11-24,80,48
2019-12-01,78,29
2019-12-08,75,76
2019-12-15,73,48
2019-12-22,68,58
2019-12-29,71,29
2020-01-05,69,55
2020-01-12,64,62
2020-01-19,66,59
2020-01-26,68,56
2020-02-02,71,28
2020-02-09,69,27
2020-02-16,70,35
2020-02-23,72,73
2020-03-01,74,39
2020-03-08,74,39
2020-03-15,73,58
2020-03-22,70,61
2020-03-29,75,40
2020-04-05,77,39
2020-04-12,78,45
2020-04-19,77,29
2020-04-26,76,24
