카테고리: 모든 카테고리,,
,,
주,웹,유튜브
2017-12-31,57,5
2018-01-07,74,15
2018-01-14,50,11
2018-01-21,78,10
2018-01-28,99,18
2018-02-04,72,12
2018-02-11,57,11
2018-02-18,66,16
2018-02-25,65,16
2018-03-04,76,22
2018-03-11,86,15
2018-03-18,100,20
2018-03-25,58,13
2018-04-01,58,17
2018-04-08,55,14
2018-04-15,72,8
2018-04-22,64,15
2018-04-29,64,21
2018-05-06,47,20
2018-05-13,60,100
2018-05-20,68,25
2018-05-27,56,22
2018-06-03,49,33
2018-06-10,30,16
2018-06-17,35,16
2018-06-24,43,30
2018-07-01,57,28
2018-07-08,47,30
2018-07-15,71,39
2018-07-22,60,29
2018-07-29,69,37
2018-08-05,49,53
2018-08-12,45,80
2018-08-19,71,33
2018-08-26,53,11
2018-09-02,63,17
2018-09-09,73,54
2018-09-16,41,40
2018-09-23,20,13
2018-09-30,52,51
2018-10-07,47,28
2018-10-14,45,28
2018-10-21,45,25
2018-10-28,60,39
2018-11-04,38,28
2018-11-11,63,16
2018-11-18,51,15
2018-11-25,38,16
2018-12-02,48,11
2018-12-09,54,9
2018-12-16,72,19
2018-12-23,70,25
2018-12-30,42,21
2019-01-06,65,18
2019-01-13,72,38
2019-01-20,61,32
2019-01-27,57,35
2019-02-03,44,37
2019-02-10,73,43
2019-02-17,89,29
2019-02-24,49,35
2019-03-03,63,39
2019-03-10,77,31
2019-03-17,42,29
2019-03-24,55,22
2019-03-31,59,35
2019-04-07,34,14
2019-04-14,67,20
2019-04-21,48,48
2019-04-28,50,30
2019-05-05,59,49
2019-05-12,45,35
2019-05-19,50,27
2019-05-26,50,64
2019-06-02,37,38
2019-06-09,55,27
2019-06-16,32,54
2019-06-23,41,28
2019-06-30,44,19
2019-07-07,49,29
2019-07-14,45,33
2019-07-21,58,58
2019-07-28,46,30
2019-08-04,48,35
2019-08-11,48,24
2019-08-18,38,37
2019-08-25,50,48
2019-09-01,60,48
2019-09-08,58,35
2019-09-15,65,68
2019-09-22,45,25
2019-09-29,49,36
2019-10-06,35,25
2019-10-13,37,51
2019-10-20,42,51
2019-10-27,41,26
2019-11-03,45,26
2019-11-10,44,26
2019-11-17,42,71
2019-11-24,54,71
2019-12-01,48,53
2019-12-08,32,70
2019-12-15,34,26
2019-12-22,41,40
2019-12-29,37,26
2020-01-05,39,0
2020-01-12,57,86
2020-01-19,42,0
2020-01-26,44,39
2020-02-02,48,26
2020-02-09,50,0
2020-02-16,52,48
2020-02-23,42,23
2020-03-01,54,22
2020-03-08,70,53
2020-03-15,93,43
2020-03-22,79,37
2020-03-29,73,57
2020-04-05,81,50
2020-04-12,49,41
2020-04-19,53,61
2020-04-26,40,30
