ì¹´í…Œê³ ë¦¬: ëª¨ë“  ì¹´í…Œê³ ë¦¬,,
,,
,À¥,À¯Æ©ºê
2017-12-31,43,7
2018-01-07,35,5
2018-01-14,49,5
2018-01-21,51,5
2018-01-28,55,10
2018-02-04,43,10
2018-02-11,35,8
2018-02-18,34,5
2018-02-25,30,5
2018-03-04,67,6
2018-03-11,90,12
2018-03-18,53,5
2018-03-25,35,6
2018-04-01,43,5
2018-04-08,41,11
2018-04-15,34,16
2018-04-22,46,0
2018-04-29,39,11
2018-05-06,28,5
2018-05-13,45,5
2018-05-20,25,10
2018-05-27,39,8
2018-06-03,43,8
2018-06-10,34,8
2018-06-17,39,5
2018-06-24,37,5
2018-07-01,39,11
2018-07-08,37,0
2018-07-15,56,12
2018-07-22,37,5
2018-07-29,27,12
2018-08-05,34,7
2018-08-12,31,5
2018-08-19,30,5
2018-08-26,28,5
2018-09-02,49,5
2018-09-09,53,5
2018-09-16,44,5
2018-09-23,26,5
2018-09-30,25,4
2018-10-07,47,6
2018-10-14,26,11
2018-10-21,38,12
2018-10-28,41,6
2018-11-04,39,12
2018-11-11,33,7
2018-11-18,35,11
2018-11-25,36,18
2018-12-02,53,9
2018-12-09,31,8
2018-12-16,23,9
2018-12-23,20,12
2018-12-30,23,5
2019-01-06,43,14
2019-01-13,46,17
2019-01-20,52,17
2019-01-27,35,17
2019-02-03,24,11
2019-02-10,27,12
2019-02-17,36,12
2019-02-24,28,10
2019-03-03,43,11
2019-03-10,37,17
2019-03-17,51,33
2019-03-24,29,23
2019-03-31,22,12
2019-04-07,23,13
2019-04-14,31,11
2019-04-21,31,21
2019-04-28,36,13
2019-05-05,18,18
2019-05-12,33,13
2019-05-19,22,26
2019-05-26,30,20
2019-06-02,18,30
2019-06-09,18,19
2019-06-16,23,52
2019-06-23,16,27
2019-06-30,23,21
2019-07-07,18,21
2019-07-14,37,35
2019-07-21,15,14
2019-07-28,36,44
2019-08-04,25,0
2019-08-11,29,0
2019-08-18,33,0
2019-08-25,43,23
2019-09-01,35,23
2019-09-08,53,50
2019-09-15,46,25
2019-09-22,27,0
2019-09-29,27,0
2019-10-06,37,97
2019-10-13,31,25
2019-10-20,35,24
2019-10-27,41,25
2019-11-03,45,0
2019-11-10,33,25
2019-11-17,32,26
2019-11-24,30,39
2019-12-01,28,26
2019-12-08,25,51
2019-12-15,28,0
2019-12-22,32,26
2019-12-29,19,38
2020-01-05,33,24
2020-01-12,53,28
2020-01-19,39,26
2020-01-26,49,88
2020-02-02,69,100
2020-02-09,72,24
2020-02-16,46,0
2020-02-23,54,22
2020-03-01,55,62
2020-03-08,56,62
2020-03-15,79,72
2020-03-22,95,82
2020-03-29,71,59
2020-04-05,100,52
2020-04-12,77,69
2020-04-19,61,49
2020-04-26,47,44
