ì¹´í…Œê³ ë¦¬: ëª¨ë“  ì¹´í…Œê³ ë¦¬,,
,,
,À¥,À¯Æ©ºê
2017-12-31,52,14
2018-01-07,95,24
2018-01-14,100,21
2018-01-21,69,16
2018-01-28,80,15
2018-02-04,66,15
2018-02-11,45,16
2018-02-18,50,11
2018-02-25,49,17
2018-03-04,88,38
2018-03-11,70,28
2018-03-18,64,26
2018-03-25,70,29
2018-04-01,44,25
2018-04-08,54,22
2018-04-15,51,28
2018-04-22,53,37
2018-04-29,44,30
2018-05-06,48,31
2018-05-13,40,23
2018-05-20,46,16
2018-05-27,42,19
2018-06-03,35,11
2018-06-10,35,21
2018-06-17,41,25
2018-06-24,35,15
2018-07-01,30,18
2018-07-08,41,14
2018-07-15,34,9
2018-07-22,39,21
2018-07-29,46,14
2018-08-05,41,20
2018-08-12,44,14
2018-08-19,35,11
2018-08-26,39,16
2018-09-02,41,15
2018-09-09,62,18
2018-09-16,56,16
2018-09-23,23,11
2018-09-30,32,10
2018-10-07,48,10
2018-10-14,37,12
2018-10-21,44,23
2018-10-28,51,18
2018-11-04,47,17
2018-11-11,60,22
2018-11-18,43,16
2018-11-25,53,17
2018-12-02,42,10
2018-12-09,51,13
2018-12-16,45,9
2018-12-23,41,12
2018-12-30,35,11
2019-01-06,37,13
2019-01-13,53,19
2019-01-20,40,16
2019-01-27,45,12
2019-02-03,24,9
2019-02-10,33,14
2019-02-17,41,14
2019-02-24,34,12
2019-03-03,36,12
2019-03-10,25,11
2019-03-17,42,15
2019-03-24,64,23
2019-03-31,49,12
2019-04-07,45,16
2019-04-14,40,15
2019-04-21,47,14
2019-04-28,40,9
2019-05-05,39,9
2019-05-12,40,6
2019-05-19,31,21
2019-05-26,43,15
2019-06-02,31,12
2019-06-09,37,11
2019-06-16,29,13
2019-06-23,29,6
2019-06-30,25,6
2019-07-07,40,7
2019-07-14,44,8
2019-07-21,37,9
2019-07-28,32,9
2019-08-04,42,17
2019-08-11,29,10
2019-08-18,35,6
2019-08-25,34,11
2019-09-01,32,10
2019-09-08,39,5
2019-09-15,45,10
2019-09-22,30,5
2019-09-29,30,12
2019-10-06,28,13
2019-10-13,28,7
2019-10-20,32,15
2019-10-27,38,5
2019-11-03,27,10
2019-11-10,34,14
2019-11-17,26,9
2019-11-24,29,18
2019-12-01,26,12
2019-12-08,30,8
2019-12-15,30,9
2019-12-22,30,7
2019-12-29,24,9
2020-01-05,21,12
2020-01-12,38,25
2020-01-19,32,14
2020-01-26,30,10
2020-02-02,28,19
2020-02-09,32,23
2020-02-16,33,21
2020-02-23,34,12
2020-03-01,31,23
2020-03-08,45,16
2020-03-15,52,11
2020-03-22,95,100
2020-03-29,74,63
2020-04-05,53,54
2020-04-12,49,46
2020-04-19,61,52
2020-04-26,36,45
