ì¹´í…Œê³ ë¦¬: ëª¨ë“  ì¹´í…Œê³ ë¦¬,,
,,
,À¥,À¯Æ©ºê
2017-12-31,48,68
2018-01-07,52,58
2018-01-14,50,63
2018-01-21,53,60
2018-01-28,53,69
2018-02-04,52,77
2018-02-11,54,75
2018-02-18,52,74
2018-02-25,50,70
2018-03-04,52,64
2018-03-11,54,72
2018-03-18,53,66
2018-03-25,51,70
2018-04-01,52,67
2018-04-08,50,56
2018-04-15,48,51
2018-04-22,46,61
2018-04-29,48,64
2018-05-06,46,62
2018-05-13,49,59
2018-05-20,45,52
2018-05-27,47,54
2018-06-03,45,46
2018-06-10,45,43
2018-06-17,45,45
2018-06-24,47,41
2018-07-01,43,51
2018-07-08,45,48
2018-07-15,45,46
2018-07-22,44,58
2018-07-29,48,54
2018-08-05,47,61
2018-08-12,43,79
2018-08-19,45,74
2018-08-26,43,73
2018-09-02,49,73
2018-09-09,51,91
2018-09-16,50,87
2018-09-23,49,72
2018-09-30,44,71
2018-10-07,49,69
2018-10-14,50,68
2018-10-21,44,81
2018-10-28,44,64
2018-11-04,45,77
2018-11-11,46,89
2018-11-18,45,85
2018-11-25,47,77
2018-12-02,47,84
2018-12-09,49,71
2018-12-16,50,84
2018-12-23,47,82
2018-12-30,50,85
2019-01-06,46,78
2019-01-13,47,73
2019-01-20,49,67
2019-01-27,48,68
2019-02-03,47,81
2019-02-10,46,75
2019-02-17,48,73
2019-02-24,48,68
2019-03-03,49,69
2019-03-10,50,64
2019-03-17,52,63
2019-03-24,52,57
2019-03-31,54,55
2019-04-07,49,55
2019-04-14,48,63
2019-04-21,53,65
2019-04-28,51,64
2019-05-05,53,64
2019-05-12,51,61
2019-05-19,51,55
2019-05-26,55,52
2019-06-02,49,61
2019-06-09,50,55
2019-06-16,51,60
2019-06-23,53,60
2019-06-30,53,56
2019-07-07,53,66
2019-07-14,54,56
2019-07-21,53,68
2019-07-28,52,62
2019-08-04,55,52
2019-08-11,55,65
2019-08-18,57,59
2019-08-25,59,60
2019-09-01,56,66
2019-09-08,54,60
2019-09-15,57,54
2019-09-22,55,45
2019-09-29,53,50
2019-10-06,52,46
2019-10-13,55,55
2019-10-20,53,55
2019-10-27,56,47
2019-11-03,57,76
2019-11-10,57,71
2019-11-17,59,72
2019-11-24,55,57
2019-12-01,55,78
2019-12-08,56,48
2019-12-15,56,61
2019-12-22,55,73
2019-12-29,55,86
2020-01-05,100,88
2020-01-12,75,74
2020-01-19,61,66
2020-01-26,60,69
2020-02-02,58,72
2020-02-09,62,84
2020-02-16,62,79
2020-02-23,58,71
2020-03-01,66,74
2020-03-08,65,73
2020-03-15,62,100
2020-03-22,61,92
2020-03-29,63,92
2020-04-05,63,90
2020-04-12,63,93
2020-04-19,64,80
2020-04-26,64,90
