날짜,시가,종가,평균거래량,다음주 종가,웹,유튜브
2018.01.05,407000,405000,156940.25,426000,27,0
2018.01.12,409000,426000,193061.6,423500,27,6
2018.01.19,426000,423500,168763.4,435500,31,6
2018.01.26,425500,435500,191426.8,400500,18,6
2018.02.02,436000,400500,299087.8,366000,30,12
2018.02.09,392500,366000,353514.6,372500,29,16
2018.02.14,369500,372500,202715,389000,13,7
2018.02.23,378000,389000,163940.4,383500,26,0
2018.03.02,393500,383500,195509.75,406500,15,0
2018.03.09,383500,406500,205481,413500,31,8
2018.03.16,410500,413500,202203,393500,67,23
2018.03.23,419000,393500,158587,385500,24,7
2018.03.30,390500,385500,175578,379000,25,0
2018.04.06,394000,379000,174246,373000,18,0
2018.04.13,375500,373000,222181.2,372500,20,14
2018.04.20,374000,372500,169128.4,354500,28,7
2018.04.27,374500,354500,231443,341000,24,14
2018.05.04,351500,341000,292554.5,345000,25,18
2018.05.11,332000,345000,250744.25,344000,32,10
2018.05.18,349000,344000,218097,352500,25,7
2018.05.25,344000,352500,316459,337000,29,13
2018.06.01,353000,337000,218995.6,375500,29,14
2018.06.08,338500,375500,407001.5,373500,24,20
2018.06.15,374000,373500,317120.5,343000,18,10
2018.06.22,371500,343000,286373.6,333500,20,7
2018.06.29,347500,333500,293866.4,322000,19,7
2018.07.06,332500,322000,260634.2,335000,16,10
2018.07.13,321000,335000,275860.6,332500,19,12
2018.07.20,338000,332500,250672.6,374500,20,16
2018.07.27,336500,374500,476973.4,391000,21,20
2018.08.03,375500,391000,272600.4,375000,25,12
2018.08.10,391000,375000,267291,365500,22,12
2018.08.17,374500,365500,197705.25,366000,19,24
2018.08.24,369500,366000,267081.4,366000,26,12
2018.08.31,366000,366000,229440.4,352000,38,12
2018.09.07,365500,352000,217490.4,352000,50,26
2018.09.14,348500,352000,236527,367000,91,35
2018.09.21,359000,367000,232595.2,365500,18,25
2018.09.28,360000,365500,220278.5,324000,14,34
2018.10.05,365500,324000,322997.5,315500,24,17
2018.10.12,321000,315500,273502.75,330000,23,13
2018.10.19,317000,330000,178763,324000,28,62
2018.10.26,328000,324000,242732.8,358000,41,28
2018.11.02,340000,358000,284889.4,327500,42,30
2018.11.09,356500,327500,289150.6,344500,34,12
2018.11.16,328500,344500,197176.4,328500,28,19
2018.11.23,342000,328500,143529.8,345500,21,12
2018.11.30,330500,345500,249056.2,351500,36,14
2018.12.07,351500,351500,198752,351500,31,9
2018.12.14,347500,351500,194853,358500,26,9
2018.12.21,352500,358500,263065,347000,25,5
2018.12.28,357000,347000,144297.25,330500,15,9
2019.01.04,351000,330500,202539,349000,26,15
2019.01.11,340000,349000,199536.6,368500,23,21
2019.01.18,349000,368500,197716.8,373500,20,18
2019.01.25,370000,373500,166629.6,368000,20,6
2019.02.01,376500,368000,228820.4,370000,31,21
2019.02.08,368000,370000,202155.5,380000,17,6
2019.02.15,374000,380000,194765,383500,28,14
2019.02.22,383000,383500,252833.4,390500,21,12
2019.02.28,386500,390500,201692,364500,36,14
2019.03.08,395000,364500,243821.6,370500,60,39
2019.03.15,364500,370500,177011,379500,100,57
2019.03.22,375000,379500,206538.2,366000,38,14
2019.03.29,368000,366000,179892.2,377500,24,21
2019.04.05,367000,377500,141489.4,380000,25,19
2019.04.12,377000,380000,198440.4,366500,24,17
2019.04.19,379000,366500,182179.4,358500,32,25
2019.04.26,368500,358500,242900.2,364500,27,27
2019.05.03,357000,364500,219420.25,344000,34,25
2019.05.10,358000,344000,237245.5,334000,24,12
2019.05.17,340000,334000,213107.8,325500,28,26
2019.05.24,336000,325500,140819.8,333000,25,17
2019.05.31,324000,333000,211212.4,330500,25,17
2019.06.07,330000,330500,134117,344500,26,0
2019.06.14,334000,344500,225246.6,348000,28,25
2019.06.21,344500,348000,141724.2,354500,27,34
2019.06.28,349000,354500,138015.4,354500,14,0
2019.07.05,360000,354500,124284.8,344500,21,0
2019.07.12,352000,344500,156171.6,361500,26,0
2019.07.19,344000,361500,138062.6,333000,25,0
2019.07.26,360000,333000,192575,331500,30,18
2019.08.02,333500,331500,145924.2,317000,21,23
2019.08.09,328000,317000,191229.4,320000,22,27
2019.08.16,315500,320000,120508,329500,17,0
2019.08.23,321000,329500,123582.6,330500,26,31
2019.08.30,329500,330500,132510,328500,28,31
2019.09.06,322000,328500,148861.4,324000,33,31
2019.09.11,328000,324000,174623.3333,329000,29,49
2019.09.20,321000,329000,182809.8,301500,75,80
2019.09.27,328500,301500,358330.8,296000,30,31
2019.10.04,300000,296000,201819,302500,36,0
2019.10.11,294500,302500,224335.25,295500,32,96
2019.10.18,305000,295500,166409.8,301500,30,0
2019.10.25,298500,301500,203356.4,309000,43,32
2019.11.01,304000,309000,160667.8,323000,27,66
2019.11.08,311000,323000,192843.2,317500,38,100
2019.11.15,323500,317500,114195,301000,25,67
2019.11.22,317500,301000,171387.8,306500,24,0
2019.11.29,302500,306500,197641.2,294500,37,0
2019.12.06,308000,294500,178515.2,303000,22,33
2019.12.13,297500,303000,183487.8,314500,36,34
2019.12.20,302500,314500,184897.6,310500,19,66
2019.12.27,314000,310500,165462.75,311000,18,0
2020.01.03,311500,311000,157838.6667,325000,17,33
2020.01.10,308000,325000,261403,333000,25,48
2020.01.17,328500,333000,286431.6,348500,30,0
2020.01.23,340500,348500,373464.5,337500,29,34
2020.01.31,338000,337500,413507.75,386500,35,0
2020.02.07,328500,386500,652959.2,413500,35,0
2020.02.14,382500,413500,497720,407000,38,78
2020.02.21,420500,407000,506243.8,368000,38,92
2020.02.28,392000,368000,453347.6,400000,27,0
2020.03.06,368500,400000,508924.2,340500,39,27
2020.03.13,383000,340500,732114.2,272500,30,41
2020.03.20,343000,272500,1042994.8,303500,44,27
2020.03.27,249500,303500,817481.6,290500,43,35
2020.04.03,291000,290500,559022.8,324000,35,31
2020.04.10,295000,324000,522627.6,362500,38,0
2020.04.17,325500,362500,527565.75,353500,29,52
2020.04.24,362500,353500,438227.6,376500,37,38
2020.04.29,353500,376500,531446,352500,26,57
