날짜,시가,종가,평균거래량,다음주 종가,웹,유튜브
2018.01.05,871000,908000,111325,909000,79,63
2018.01.12,915000,909000,115546,881000,73,47
2018.01.19,917000,881000,90480.2,927000,78,55
2018.01.26,884000,927000,110939.6,905000,79,42
2018.02.02,923000,905000,98595.2,808000,77,37
2018.02.09,905000,808000,121657.8,811000,77,40
2018.02.14,817000,811000,133977.3333,829000,82,39
2018.02.23,830000,829000,87042.4,786000,82,34
2018.03.02,834000,786000,219419,802000,82,22
2018.03.09,786000,802000,78853.4,801000,83,37
2018.03.16,808000,801000,95493,783000,88,26
2018.03.23,801000,783000,91706.4,792000,91,40
2018.03.30,778000,792000,57930.4,770000,96,21
2018.04.06,783000,770000,97005.6,764000,100,41
2018.04.13,769000,764000,75786.6,728000,99,47
2018.04.20,765000,728000,94106,716000,93,22
2018.04.27,727000,716000,141975,717000,93,36
2018.05.04,721000,717000,86820.25,717000,93,37
2018.05.11,727000,717000,96373,688000,87,32
2018.05.18,720000,688000,93422.2,685000,92,26
2018.05.25,686000,685000,76854,680000,95,29
2018.06.01,685000,680000,116648.4,701000,96,35
2018.06.08,681000,701000,103873.75,690000,95,32
2018.06.15,701000,690000,140332.5,723000,99,32
2018.06.22,690000,723000,120171.2,763000,96,28
2018.06.29,728000,763000,148504.4,749000,94,21
2018.07.06,765000,749000,102669.6,771000,90,29
2018.07.13,749000,771000,85665.4,770000,92,14
2018.07.20,771000,770000,48667,751000,90,30
2018.07.27,771000,751000,119717,731000,86,21
2018.08.03,747000,731000,104632.6,771000,86,30
2018.08.10,733000,771000,78008.8,755000,84,28
2018.08.17,767000,755000,74537.5,758000,84,17
2018.08.24,764000,758000,57707.2,752000,89,17
2018.08.31,763000,752000,50422.6,732000,95,24
2018.09.07,753000,732000,64402.4,730000,96,26
2018.09.14,720000,730000,72951,725000,94,31
2018.09.21,725000,725000,59451.8,716000,84,29
2018.09.28,715000,716000,87740,704000,86,14
2018.10.05,718000,704000,86873.5,142000,89,21
2018.10.12,0,142000,163503.25,127500,84,22
2018.10.19,138500,127500,1703637,113000,83,24
2018.10.26,127500,113000,979940,116500,81,27
2018.11.02,112500,116500,946454.8,115000,81,21
2018.11.09,115000,115000,396440.2,112500,83,27
2018.11.16,114500,112500,496184.2,114000,92,29
2018.11.23,113000,114000,622593,126500,93,21
2018.11.30,115000,126500,689902.6,121000,88,25
2018.12.07,130500,121000,463737,123500,89,21
2018.12.14,119000,123500,521081.2,121500,86,29
2018.12.21,124000,121500,379113.6,122000,85,26
2018.12.28,122000,122000,312175.75,125500,83,16
2019.01.04,121000,125500,467308.3333,131000,83,20
2019.01.11,128000,131000,375231,137500,77,21
2019.01.18,130000,137500,373997.8,130000,75,25
2019.01.25,138000,130000,412561.2,133500,85,22
2019.02.01,129500,133500,548313.8,126000,78,22
2019.02.08,132000,126000,721165.5,127500,78,14
2019.02.15,127000,127500,691156,127000,75,23
2019.02.22,129500,127000,326354.6,133000,75,16
2019.02.28,127000,133000,459150.75,133000,76,21
2019.03.08,135000,133000,418623.6,130500,85,16
2019.03.15,131500,130500,449827.6,127000,90,26
2019.03.22,131500,127000,319988.4,124000,84,14
2019.03.29,126000,124000,406346.8,123000,90,21
2019.04.05,124000,123000,504956.2,119500,87,36
2019.04.12,122500,119500,568902.6,118000,86,30
2019.04.19,119000,118000,646585.4,118000,83,19
2019.04.26,118000,118000,703544.8,124000,82,30
2019.05.03,118500,124000,598979.75,122500,80,23
2019.05.10,122000,122500,571917.5,121000,82,27
2019.05.17,121500,121000,452162.6,113500,89,45
2019.05.24,121500,113500,514733.6,111500,86,74
2019.05.31,112500,111500,612930.4,111000,92,30
2019.06.07,113000,111000,445534.75,111500,87,33
2019.06.14,111500,111500,469332.4,113000,89,39
2019.06.21,111500,113000,517821.8,114000,88,39
2019.06.28,113000,114000,334246.8,121000,77,55
2019.07.05,114500,121000,350955,117000,74,47
2019.07.12,120500,117000,297693.4,122500,78,79
2019.07.19,118000,122500,314661.2,141000,79,42
2019.07.26,122000,141000,877676.2,142000,79,32
2019.08.02,139500,142000,450777.2,142500,78,52
2019.08.09,141000,142500,509013.8,139500,80,23
2019.08.16,142500,139500,338727.75,148500,77,52
2019.08.23,139000,148500,509816.4,146500,83,35
2019.08.30,145500,146500,493943,149500,85,70
2019.09.06,156000,149500,360685.6,153500,82,96
2019.09.11,149500,153500,499905.3333,157000,78,56
2019.09.20,154500,157000,397311.8,156000,82,46
2019.09.27,157500,156000,245896.6,150500,81,53
2019.10.04,155000,150500,345232,156000,80,39
2019.10.11,150500,156000,314878,150500,78,54
2019.10.18,156000,150500,270174.8,152500,82,56
2019.10.25,151500,152500,243951.4,167000,80,64
2019.11.01,152500,167000,615376,163500,77,38
2019.11.08,165500,163500,429580.8,173500,83,43
2019.11.15,163500,173500,779503.2,167500,79,100
2019.11.22,177500,167500,712042.6,172000,77,43
2019.11.29,168000,172000,433541,174000,80,48
2019.12.06,172500,174000,246095,175500,78,29
2019.12.13,174000,175500,323191.8,183500,75,76
2019.12.20,175000,183500,374951.2,183500,73,48
2019.12.27,185000,183500,235148.75,181500,68,58
2020.01.03,183500,181500,377224.3333,188000,71,29
2020.01.10,180000,188000,473511,191000,69,55
2020.01.17,187500,191000,338787.8,183000,64,62
2020.01.23,190000,183000,452048,179500,66,59
2020.01.31,182000,179500,555093,185000,68,56
2020.02.07,178000,185000,618333.6,186500,71,28
2020.02.14,182500,186500,480136.2,189500,69,27
2020.02.21,184500,189500,416042.6,174000,70,35
2020.02.28,185500,174000,626462.2,179500,72,73
2020.03.06,175000,179500,486348.8,166000,74,39
2020.03.13,174500,166000,808353.4,154000,74,39
2020.03.20,166000,154000,922182.8,164000,73,58
2020.03.27,141500,164000,1048151.2,172000,70,61
2020.04.03,160000,172000,791919,166500,75,40
2020.04.10,173500,166500,656771.2,179000,77,39
2020.04.17,164500,179000,668897.5,192500,78,45
2020.04.24,181000,192500,896927,197500,77,29
2020.04.29,193000,197500,679213,214000,76,24
