날짜,시가,종가,평균거래량,다음주 종가,웹,유튜브
2018.01.05,77300,79300,3059218.75,74400,57,5
2018.01.12,79500,74400,4973044.8,73300,74,15
2018.01.19,73700,73300,4255863.4,75500,50,11
2018.01.26,72800,75500,5427990.4,72200,78,10
2018.02.02,76500,72200,4438685.4,73400,99,18
2018.02.09,70200,73400,5290257.4,77600,72,12
2018.02.14,73700,77600,5025290.333,77300,57,11
2018.02.23,78900,77300,2559220,77400,66,16
2018.03.02,78300,77400,2874760,83300,65,16
2018.03.09,77500,83300,5119108.8,89800,76,22
2018.03.16,84900,89800,5314584.6,83100,86,15
2018.03.23,90200,83100,3955755.2,81300,100,20
2018.03.30,82300,81300,5085403.4,80300,58,13
2018.04.06,81700,80300,3561879.2,84200,58,17
2018.04.13,80000,84200,3593246.8,84400,55,14
2018.04.20,84200,84400,3571634.2,87100,72,8
2018.04.27,83400,87100,5233183.6,83000,64,15
2018.05.04,85400,83000,3789081.5,86100,64,21
2018.05.11,84500,86100,2661430.25,87900,47,20
2018.05.18,86100,87900,2458170.6,95200,60,100
2018.05.25,88400,95200,5251936.5,91400,68,25
2018.06.01,94600,91400,3966989.8,88400,56,22
2018.06.08,91000,88400,3308468.5,87000,49,33
2018.06.15,88800,87000,3000974.75,89500,30,16
2018.06.22,86800,89500,3715318.4,85700,35,16
2018.06.29,88800,85700,4115865.2,85300,43,30
2018.07.06,85000,85300,2627408.8,88800,57,28
2018.07.13,85300,88800,2747230,87900,47,30
2018.07.20,88700,87900,2302781.4,86100,71,39
2018.07.27,86300,86100,5283347.2,83300,60,29
2018.08.03,86200,83300,2534806,75100,69,37
2018.08.10,82200,75100,4875276.4,74500,49,53
2018.08.17,74300,74500,3785013,81800,45,80
2018.08.24,74700,81800,3978513.8,83000,71,33
2018.08.31,82100,83000,2901798.8,75900,53,11
2018.09.07,82200,75900,4010980.8,77700,63,17
2018.09.14,75900,77700,4215611.8,76700,73,54
2018.09.21,78000,76700,3337008.6,73100,41,40
