Date,web,image,news,youtube
2018-01-07,37,43,58,26
2018-01-14,41,0,0,18
2018-01-21,56,43,61,10
2018-01-28,59,43,0,8
2018-02-04,44,45,0,20
2018-02-11,36,53,74,11
2018-02-18,36,44,0,13
2018-02-25,53,0,64,25
2018-03-04,29,45,61,15
2018-03-11,30,0,65,15
2018-03-18,45,39,0,21
2018-03-25,37,0,0,17
2018-04-01,33,0,0,26
2018-04-08,33,0,0,14
2018-04-15,31,39,0,26
2018-04-22,30,41,0,19
2018-04-29,35,42,0,14
2018-05-06,20,0,0,12
2018-05-13,23,0,0,35
2018-05-20,25,38,0,7
2018-05-27,34,72,0,17
2018-06-03,31,0,0,27
2018-06-10,31,39,0,20
2018-06-17,30,39,0,21
2018-06-24,37,0,0,25
2018-07-01,30,43,0,20
2018-07-08,30,42,0,13
2018-07-15,28,0,0,13
2018-07-22,29,85,0,14
2018-07-29,32,46,0,6
2018-08-05,34,0,0,10
2018-08-12,31,90,0,15
2018-08-19,38,43,0,14
2018-08-26,23,44,0,12
2018-09-02,34,86,59,21
2018-09-09,47,0,59,21
2018-09-16,35,43,62,15
2018-09-23,22,0,0,17
2018-09-30,26,42,66,13
2018-10-07,33,87,67,17
2018-10-14,26,0,0,15
2018-10-21,35,41,0,17
2018-10-28,41,0,0,23
2018-11-04,21,60,0,22
2018-11-11,31,80,0,14
2018-11-18,30,0,0,18
2018-11-25,39,40,0,26
2018-12-02,32,40,67,24
2018-12-09,46,0,0,16
2018-12-16,30,0,0,20
2018-12-23,39,0,0,13
2018-12-30,36,100,0,14
2019-01-06,47,44,0,15
2019-01-13,55,44,0,13
2019-01-20,43,44,77,23
2019-01-27,49,0,82,21
2019-02-03,36,0,100,14
2019-02-10,50,43,0,15
2019-02-17,100,0,77,13
2019-02-24,35,45,0,13
2019-03-03,43,44,0,15
2019-03-10,43,0,0,34
2019-03-17,34,39,0,19
2019-03-24,58,0,63,24
2019-03-31,27,39,0,20
2019-04-07,41,39,0,15
2019-04-14,35,0,0,22
2019-04-21,38,41,68,21
2019-04-28,34,0,72,20
2019-05-05,43,42,0,30
2019-05-12,33,0,0,18
2019-05-19,44,38,0,35
2019-05-26,39,0,0,17
2019-06-02,22,0,0,49
2019-06-09,39,38,0,28
2019-06-16,44,0,65,17
2019-06-23,49,43,0,53
2019-06-30,39,0,0,74
2019-07-07,33,0,0,0
2019-07-14,45,57,0,49
2019-07-21,36,0,0,37
2019-07-28,53,0,0,31
2019-08-04,33,0,0,44
2019-08-11,35,0,0,0
2019-08-18,40,0,0,62
2019-08-25,47,0,71,31
2019-09-01,32,0,0,72
2019-09-08,35,0,0,33
2019-09-15,46,40,0,0
2019-09-22,56,0,60,31
2019-09-29,47,0,64,60
2019-10-06,41,42,65,42
2019-10-13,38,79,0,0
2019-10-20,33,40,0,65
2019-10-27,39,41,63,33
2019-11-03,44,0,0,44
2019-11-10,48,59,64,100
2019-11-17,45,38,0,51
2019-11-24,38,0,66,84
2019-12-01,49,0,0,33
2019-12-08,40,40,64,33
2019-12-15,53,42,0,33
2019-12-22,39,48,0,67
2019-12-29,39,0,0,0
2020-01-05,61,40,0,54
2020-01-12,44,42,0,36
2020-01-19,40,0,71,52
2020-01-26,40,0,0,54
2020-02-02,47,0,0,81
2020-02-09,51,39,0,46
2020-02-16,49,0,48,61
2020-02-23,43,0,0,29
2020-03-01,35,0,0,27
2020-03-08,38,0,0,55
2020-03-15,48,0,40,27
2020-03-22,53,0,38,35
2020-03-29,38,36,0,47
2020-04-05,37,35,71,27
2020-04-12,37,35,0,39
2020-04-19,46,33,38,43
2020-04-26,35,55,43,44
