날짜,시가,종가,평균거래량,다음주 종가,웹,유튜브
2018.01.05,2569000,2606000,198321.75,2410000,43,7
2018.01.12,2620000,2410000,389433.2,2466000,35,5
2018.01.19,2440000,2466000,262430,2539000,49,5
2018.01.26,2432000,2539000,228458.2,2385000,51,5
2018.02.02,2560000,2385000,582697.8,2235000,55,10
2018.02.09,2325000,2235000,447713.8,2450000,43,10
2018.02.14,2255000,2450000,357227.3333,2361000,35,8
2018.02.23,2490000,2361000,238598,2301000,34,5
2018.03.02,2364000,2301000,239095.25,2487000,30,5
2018.03.09,2291000,2487000,338877.6,2557000,67,6
2018.03.16,2528000,2557000,250273,2486000,90,12
2018.03.23,2531000,2486000,194505.4,2461000,53,5
2018.03.30,2471000,2461000,219741.2,2420000,35,6
2018.04.06,2450000,2420000,232185.6,2490000,43,5
2018.04.13,2413000,2490000,214921.6,2581000,41,11
2018.04.20,2516000,2581000,232254.4,2650000,34,16
2018.04.27,2550000,2650000,369445,51900,46,0
2018.05.04,0,51900,9891347.75,51300,39,11
2018.05.11,52600,51300,15863321.25,49500,28,5
2018.05.18,51000,49500,13321822.2,52700,45,5
2018.05.25,49650,52700,12403257.25,51300,25,10
2018.06.01,52500,51300,23059192.6,49650,39,8
2018.06.08,50800,49650,12363248.25,47650,43,8
2018.06.15,49750,47650,15183625.5,47250,34,8
2018.06.22,47600,47250,13030540.8,46650,39,5
2018.06.29,47050,46650,12794012.8,44900,37,5
2018.07.06,46500,44900,11546430,46500,39,11
2018.07.13,45500,46500,11345339.8,47450,37,0
2018.07.20,46800,47450,9575798.4,46900,56,12
2018.07.27,47100,46900,7689004.4,45750,37,5
2018.08.03,46550,45750,7615401.8,45400,27,12
2018.08.10,46150,45400,10188204,44100,34,7
2018.08.17,44950,44100,8277516.5,46150,31,5
2018.08.24,43500,46150,8352900.6,48450,30,5
2018.08.31,46100,48450,8794563.4,44900,28,5
2018.09.07,48200,44900,10370479.6,45850,49,5
2018.09.14,45450,45850,12713036.6,47400,53,5
2018.09.21,45550,47400,11098360,46450,44,5
2018.09.28,46950,46450,13537550.5,44700,26,5
2018.10.05,46450,44700,8842915.75,44000,25,4
2018.10.12,44200,44000,12266564,43900,47,6
2018.10.19,44050,43900,7751327.4,41000,26,11
2018.10.26,43450,41000,13032747.6,44150,38,12
2018.11.02,40850,44150,15245487,44300,41,6
2018.11.09,43750,44300,9726059.4,44000,39,12
2018.11.16,43850,44000,7657645.4,42400,33,7
2018.11.23,44050,42400,7778481.4,41850,35,11
2018.11.30,42150,41850,10034445.8,40950,36,18
2018.12.07,42750,40950,12955068,38950,53,9
2018.12.14,40450,38950,16696347.4,38650,31,8
2018.12.21,38650,38650,11880360.6,38700,23,9
2018.12.28,38500,38700,10712028.75,37450,20,12
2019.01.04,39400,37450,11476038.33,40500,23,5
2019.01.11,38000,40500,13870204.2,42300,43,14
2019.01.18,40450,42300,10947101.2,44750,46,17
2019.01.25,42700,44750,13985630.8,46350,52,17
2019.02.01,45000,46350,17434702,44800,35,17
2019.02.08,46800,44800,14280598.5,46050,24,11
2019.02.15,44500,46050,12684626.6,47150,27,12
2019.02.22,46500,47150,8404324.8,45100,36,12
2019.02.28,47400,45100,11771198.75,43800,28,10
2019.03.08,46000,43800,10504061.2,44200,43,11
2019.03.15,44400,44200,13022210.4,46550,37,17
2019.03.22,43950,46550,11863721.6,44650,51,33
2019.03.29,45300,44650,9262127.8,46850,29,23
2019.04.05,45200,46850,10095178.8,46850,22,12
2019.04.12,47250,46850,9727400,45300,23,13
2019.04.19,47150,45300,8653203,44850,31,11
2019.04.26,45400,44850,9367147.4,45300,31,21
2019.05.03,45150,45300,8771708,42900,36,13
2019.05.10,45250,42900,15005722.75,41200,18,18
2019.05.17,42500,41200,10782954.6,42700,33,13
2019.05.24,41650,42700,14364636,42500,22,26
2019.05.31,42500,42500,14127237,44200,30,20
2019.06.07,42950,44200,12381973.5,44000,18,30
2019.06.14,44300,44000,10058781.4,45700,18,19
2019.06.21,43750,45700,9381148,47000,23,52
2019.06.28,45200,47000,9588140.4,45650,16,27
2019.07.05,47350,45650,8623386.2,46300,23,21
2019.07.12,44750,46300,8191949.8,46800,18,21
2019.07.19,45950,46800,6260919.8,47150,37,35
2019.07.26,46800,47150,8621947.2,44950,15,14
2019.08.02,46800,44950,9048666.2,43150,36,44
2019.08.09,44350,43150,13182494.2,43900,25,0
2019.08.16,44000,43900,8505349.5,43950,29,0
2019.08.23,44350,43950,6819739.6,44000,33,0
2019.08.30,43050,44000,10253029.8,46300,43,23
2019.09.06,44850,46300,11519261.4,47150,35,23
2019.09.11,46450,47150,11602522.67,49200,53,50
2019.09.20,47000,49200,12978371.2,48400,46,25
2019.09.27,49250,48400,8234089.2,48000,27,0
2019.10.04,48050,48000,8354328,49150,27,0
2019.10.11,48350,49150,11927442.5,49900,37,97
2019.10.18,50000,49900,8301901.6,50900,31,25
2019.10.25,49900,50900,10606964.4,51200,35,24
2019.11.01,50700,51200,8349041.8,52100,41,25
2019.11.08,51700,52100,11762996.8,53700,45,0
2019.11.15,52200,53700,8540134.8,51600,33,25
2019.11.22,53600,51600,10398151.4,50300,32,26
2019.11.29,52200,50300,12396466.2,50400,30,39
2019.12.06,50900,50400,13209578.2,54700,28,26
2019.12.13,50900,54700,14806375.4,56000,25,51
2019.12.20,54500,56000,14541017,56500,28,0
2019.12.27,56100,56500,10916451.25,55500,32,26
2020.01.03,56200,55500,12257416.67,59500,19,38
2020.01.10,54900,59500,16778529.8,61300,33,24
2020.01.17,59600,61300,14594759.4,60800,53,28
2020.01.23,62000,60800,13481917,56400,39,26
2020.01.31,59400,56400,20170509.75,60400,49,88
2020.02.07,55500,60400,19240653.8,61800,69,100
2020.02.14,59200,61800,13761680.2,59200,72,24
2020.02.21,61600,59200,13347135,54200,46,0
2020.02.28,57400,54200,25651963,56500,54,22
2020.03.06,54300,56500,25183016.2,49950,55,62
2020.03.13,54700,49950,43137650.4,45400,56,62
2020.03.20,50100,45400,46273223.2,48300,79,72
2020.03.27,42600,48300,45264152.6,47000,95,82
2020.04.03,47050,47000,25823389.2,49250,71,59
2020.04.10,47500,49250,24079448.6,51400,100,52
2020.04.17,48650,51400,21007362.75,49350,77,69
2020.04.24,51400,49350,20452110,50000,61,49
2020.04.29,49350,50000,15249801,48800,47,44
