날짜,시가,종가,평균거래량,다음주 종가,웹,유튜브
2018.01.05,367000,390000,265063.25,416000,14,2
2018.01.12,393000,416000,460757.6,387500,15,2
2018.01.19,431500,387500,269045.8,418000,17,3
2018.01.26,388000,418000,197566.4,440000,21,4
2018.02.02,422000,440000,426603,400500,20,4
2018.02.09,427500,400500,270903.2,436000,20,0
2018.02.14,403000,436000,222886.3333,450000,12,0
2018.02.23,436500,450000,201843.4,465500,12,5
2018.03.02,457000,465500,202033.25,455000,12,6
2018.03.09,469000,455000,212094.2,448000,16,3
2018.03.16,458500,448000,124180.2,481500,17,0
2018.03.23,448000,481500,225482.2,487000,20,2
2018.03.30,482500,487000,243435,519000,19,10
2018.04.06,487000,519000,202212,570000,17,5
2018.04.13,528000,570000,424337,506000,27,7
2018.04.20,564000,506000,297389.6,506000,23,4
2018.04.27,502000,506000,386127.2,359500,16,9
2018.05.04,501000,359500,1331393.25,386500,70,54
2018.05.11,357000,386500,833171.5,408500,50,34
2018.05.18,388500,408500,567703.6,430500,36,21
2018.05.25,411000,430500,278716.25,451500,24,12
2018.06.01,421000,451500,286898.2,421000,24,12
2018.06.08,441000,421000,319992.75,408000,23,9
2018.06.15,417000,408000,167200.25,437500,20,7
2018.06.22,405000,437500,257375.4,417000,27,9
2018.06.29,438000,417000,155627.2,410000,19,9
2018.07.06,420500,410000,149979.2,402000,19,8
2018.07.13,416500,402000,306447.8,424500,29,34
2018.07.20,408500,424500,175068.8,374500,20,8
2018.07.27,429000,374500,258935.2,392000,20,6
2018.08.03,371000,392000,181849.4,464000,20,3
2018.08.10,392500,464000,408189.2,458000,27,7
2018.08.17,467000,458000,244061.25,458000,20,8
2018.08.24,463000,458000,131217.4,463000,20,3
2018.08.31,461000,463000,146851.4,458000,18,6
2018.09.07,468000,458000,135835.2,471000,17,4
2018.09.14,455000,471000,100165.2,530000,17,4
2018.09.21,474000,530000,304691.2,534000,23,4
2018.09.28,531000,534000,219671,508000,12,6
2018.10.05,536000,508000,190801.75,474500,15,5
2018.10.12,506000,474500,236443.5,453000,21,4
2018.10.19,474500,453000,212566.8,372000,19,13
2018.10.26,447500,372000,320893.8,401500,20,8
2018.11.02,372000,401500,307395,368000,22,12
2018.11.09,397000,368000,225503.2,334500,25,14
2018.11.16,341000,334500,901774.8,334500,100,100
