날짜,시가,종가,평균거래량,다음주 종가,웹,유튜브
2018.01.05,2096000,2113000,29745.75,1958000,22,8
2018.01.12,2105000,1958000,49349.6,2000000,25,12
2018.01.19,1962000,2000000,36061.2,2070000,24,7
2018.01.26,1985000,2070000,30462.8,1973000,27,8
2018.02.02,2100000,1973000,58768.8,1839000,39,11
2018.02.09,1934000,1839000,39355.2,2037000,36,9
2018.02.14,1860000,2037000,39767.33333,1975000,26,10
2018.02.23,2088000,1975000,34279,1921000,28,13
2018.03.02,1996000,1921000,34825,2080000,27,14
2018.03.09,1916000,2080000,24795.8,2095000,38,11
2018.03.16,2117000,2095000,28724.8,2030000,40,13
2018.03.23,2095000,2030000,27750.4,2040000,40,17
2018.03.30,2010000,2040000,20067.2,2012000,30,10
2018.04.06,2035000,2012000,19434,2038000,32,9
2018.04.13,2001000,2038000,15907.8,2105000,29,9
2018.04.20,2045000,2105000,27775.4,2125000,30,21
2018.04.27,2066000,2125000,25875.4,41050,36,11
2018.05.04,0,41050,553656,40950,34,19
2018.05.11,42950,40950,1667281,39800,38,15
2018.05.18,41000,39800,1205197.4,41700,36,16
2018.05.25,39650,41700,1518904.5,40700,34,10
2018.06.01,41700,40700,1886334.8,40350,43,12
2018.06.08,40400,40350,1153686.5,37800,31,9
2018.06.15,40250,37800,1836648.25,37450,31,12
2018.06.22,37800,37450,1542410.6,37650,37,16
2018.06.29,37900,37650,1478777,36350,34,9
2018.07.06,37900,36350,910384.4,37350,34,11
2018.07.13,36500,37350,1407198.4,38400,36,10
2018.07.20,37450,38400,989739,37800,35,11
2018.07.27,38150,37800,921148.6,37900,31,10
2018.08.03,37500,37900,1238833.6,37000,33,11
2018.08.10,37900,37000,1204890,35850,34,16
2018.08.17,36500,35850,1037031.25,38050,34,10
2018.08.24,35950,38050,1004476.8,39700,38,10
2018.08.31,38350,39700,1236566,36100,38,11
2018.09.07,39500,36100,907693,36650,43,15
2018.09.14,35750,36650,1182897,38500,50,21
2018.09.21,36500,38500,1292625.8,37850,36,13
2018.09.28,38200,37850,2175083,35850,23,10
2018.10.05,37800,35850,965202.5,35800,27,13
2018.10.12,35850,35800,1493789,35800,31,12
2018.10.19,35900,35800,604722.4,33750,32,12
2018.10.26,35050,33750,838643.4,36400,30,12
2018.11.02,33550,36400,1365727.8,37150,37,20
2018.11.09,36100,37150,936955.2,36400,34,15
2018.11.16,36800,36400,1005855.4,34250,36,12
2018.11.23,35900,34250,1466891.8,33750,27,12
2018.11.30,34350,33750,2136902.8,34000,31,11
2018.12.07,34450,34000,1562607.6,32300,35,12
2018.12.14,33300,32300,1790118.4,31450,28,15
2018.12.21,32000,31450,1796319.4,31750,27,12
2018.12.28,31100,31750,1123036.75,30450,28,8
2019.01.04,32700,30450,947326.3333,33100,29,8
