날짜,시가,종가,평균거래량,다음주 종가,웹,유튜브
2018.01.05,223600,266900,2193512.5,341500,52,14
2018.01.12,278500,341500,4091696.8,287800,95,24
2018.01.19,343500,287800,2782391,300000,100,21
2018.01.26,281000,300000,1913707.2,301400,69,16
2018.02.02,293900,301400,1776936,288000,80,15
2018.02.09,293400,288000,3605541.2,312500,66,15
2018.02.14,295500,312500,1675871.333,318000,45,16
2018.02.23,326000,318000,974450.4,372000,50,11
2018.03.02,321000,372000,1825933,326000,49,17
2018.03.09,386500,326000,4808848.2,324000,88,38
2018.03.16,324000,324000,2163998.8,300000,70,28
2018.03.23,327000,300000,1179417.2,309500,64,26
2018.03.30,301000,309500,1640149.8,292000,70,29
2018.04.06,310500,292000,1044605.2,290000,44,25
2018.04.13,298500,290000,940311.8,269000,54,22
2018.04.20,289500,269000,1315209.8,276500,51,28
2018.04.27,265000,276500,1459984,250000,53,37
2018.05.04,275000,250000,1061923.75,260000,44,30
2018.05.11,251000,260000,1584632.75,270000,48,31
2018.05.18,262500,270000,947244,275000,40,23
2018.05.25,271000,275000,889244.25,273500,46,16
2018.06.01,269500,273500,804261,269500,42,19
2018.06.08,272500,269500,515968.75,298500,35,11
2018.06.15,269000,298500,984844,295500,35,21
2018.06.22,302000,295500,1035077.8,303500,41,25
2018.06.29,299500,303500,654627.8,289500,35,15
2018.07.06,303000,289500,809621.2,288000,30,18
2018.07.13,289000,288000,566404.8,285500,41,14
2018.07.20,289000,285500,495473.6,256500,34,9
2018.07.27,285500,256500,1126846.4,280500,39,21
2018.08.03,254000,280500,671108.4,272000,46,14
2018.08.10,280500,272000,721737.8,263000,41,20
2018.08.17,271000,263000,737711.5,279500,44,14
2018.08.24,266000,279500,503677.4,270000,35,11
2018.08.31,280500,270000,563814.2,279500,39,16
2018.09.07,268500,279500,593335.4,291000,41,15
2018.09.14,279000,291000,724028.8,302500,62,18
2018.09.21,298500,302500,942147.2,297000,56,16
2018.09.28,302000,297000,569532,289000,23,11
2018.10.05,297000,289000,559950,274500,32,10
2018.10.12,287500,274500,934695.5,273000,48,10
2018.10.19,276500,273000,698394,228000,37,12
2018.10.26,270500,228000,3056893.4,236500,44,23
2018.11.02,228500,236500,1541011,229500,51,18
2018.11.09,239000,229500,842530,224000,47,17
2018.11.16,216000,224000,2131747.2,221000,60,22
2018.11.23,227000,221000,723938.6,239500,43,16
2018.11.30,222500,239500,848385.4,245500,53,17
2018.12.07,244000,245500,639861.4,208000,42,10
2018.12.14,242500,208000,1291930.2,220000,51,13
2018.12.21,212500,220000,1098230.6,222500,45,9
2018.12.28,217500,222500,2383734.5,220000,41,12
2019.01.04,224500,220000,1043168.667,216500,35,11
2019.01.11,227000,216500,785557,201000,37,13
2019.01.18,216000,201000,1177036.4,208500,53,19
2019.01.25,201500,208500,698042.2,214500,40,16
2019.02.01,210500,214500,685454.4,215000,45,12
2019.02.08,215500,215000,408920.5,209500,24,9
2019.02.15,217500,209500,468790.2,207000,33,14
2019.02.22,211500,207000,411876.6,204500,41,14
2019.02.28,202000,204500,648010.25,206000,34,12
2019.03.08,207000,206000,442531.8,203000,36,12
2019.03.15,205500,203000,441861.4,199500,25,11
2019.03.22,202500,199500,315984,181000,42,15
2019.03.29,198500,181000,907184.2,192000,64,23
2019.04.05,180500,192000,423451.6,209000,49,12
2019.04.12,194000,209000,612735,218000,45,16
2019.04.19,209500,218000,583206.6,212000,40,15
2019.04.26,218500,212000,572188.8,204500,47,14
2019.05.03,213500,204500,366320.25,201500,40,9
2019.05.10,201000,201500,594393.25,195500,39,9
2019.05.17,200000,195500,419856.8,181000,40,6
2019.05.24,195500,181000,640405.2,190000,31,21
2019.05.31,181500,190000,670563.8,196500,43,15
2019.06.07,189500,196500,366746.75,201000,31,12
2019.06.14,198000,201000,384123.4,212500,37,11
2019.06.21,201000,212500,458936.8,205500,29,13
2019.06.28,212500,205500,386436.8,208000,29,6
2019.07.05,206000,208000,270458.4,188500,25,6
2019.07.12,207500,188500,714763.2,184500,40,7
2019.07.19,189000,184500,532844,185000,44,8
2019.07.26,185500,185000,438176,163500,37,9
2019.08.02,183500,163500,845974.4,155500,32,9
2019.08.09,160000,155500,1927837.6,154000,42,17
2019.08.16,155000,154000,489560.75,151500,29,10
2019.08.23,154500,151500,437088.8,157000,35,6
2019.08.30,147500,157000,908251.2,165500,34,11
2019.09.06,156000,165500,599022.4,169000,32,10
2019.09.11,167500,169000,546657.3333,175500,39,5
2019.09.20,169500,175500,643358.6,166000,45,10
2019.09.27,176500,166000,593484.8,173000,30,5
2019.10.04,166500,173000,698225,181500,30,12
2019.10.11,174000,181500,610721,181500,28,13
2019.10.18,184000,181500,369460,197000,28,7
2019.10.25,181000,197000,888597,199000,32,15
2019.11.01,198000,199000,495326,188000,38,5
2019.11.08,200500,188000,621895.6,186000,27,10
2019.11.15,187500,186000,507107.6,175000,34,14
2019.11.22,187000,175000,514618.4,174000,26,9
2019.11.29,176000,174000,570605,170000,29,18
2019.12.06,175000,170000,395712,172000,26,12
2019.12.13,170000,172000,592492.4,182000,30,8
2019.12.20,172000,182000,623190,184000,30,9
2019.12.27,183000,184000,1275480.75,177500,30,7
2020.01.03,183000,177500,549258.3333,177500,24,9
2020.01.10,174000,177500,574854.2,175000,21,12
2020.01.17,179000,175000,668745.2,175500,38,25
2020.01.23,174000,175500,427835.5,165000,32,14
2020.01.31,170500,165000,597011,171500,30,10
2020.02.07,162000,171500,662784.8,181000,28,19
2020.02.14,171000,181000,623291.4,177000,32,23
2020.02.21,182500,177000,657904.8,170000,33,21
2020.02.28,172500,170000,716690.8,177500,34,12
2020.03.06,170500,177500,671256.2,170500,31,23
2020.03.13,175000,170500,1290307,152500,45,16
2020.03.20,176000,152500,1715733.8,184000,52,11
2020.03.27,145500,184000,3458560,196000,95,100
2020.04.03,182000,196000,6018888,209500,74,63
2020.04.10,202500,209500,1833342.6,211000,53,54
2020.04.17,210000,211000,1867801,211500,49,46
2020.04.24,210500,211500,1108073.4,210500,61,52
2020.04.29,213500,210500,622489,210500,36,45
