날짜,시가,종가,평균거래량,다음주 종가,웹,유튜브
2018.01.05,140000,156000,1458133.25,140500,48,68
2018.01.12,160500,140500,1619464.2,138000,52,58
2018.01.19,141500,138000,1579353.4,140000,50,63
2018.01.26,138000,140000,892497.6,143500,53,60
2018.02.02,141000,143500,1060735.2,118000,53,69
2018.02.09,139500,118000,1615669,122500,52,77
2018.02.14,119000,122500,799221.3333,123500,54,75
2018.02.23,126000,123500,358977.4,127500,52,74
2018.03.02,124500,127500,726895,134000,50,70
2018.03.09,127500,134000,686989.4,141000,52,64
2018.03.16,136000,141000,876772,130500,54,72
2018.03.23,140000,130500,676901,132000,53,66
2018.03.30,129500,132000,552495.2,122500,51,70
2018.04.06,132500,122500,468856,120500,52,67
2018.04.13,121500,120500,396990.8,115000,50,56
2018.04.20,120500,115000,601953.8,113500,48,51
2018.04.27,114500,113500,504006.4,112000,46,61
2018.05.04,113500,112000,436840.25,117000,48,64
2018.05.11,112000,117000,467970.25,113500,46,62
2018.05.18,114500,113500,520395.2,112000,49,59
2018.05.25,113500,112000,231921.5,104500,45,52
2018.06.01,111000,104500,504253.4,113000,47,54
2018.06.08,104000,113000,414689.5,109500,45,46
2018.06.15,113000,109500,254521.75,114000,45,43
2018.06.22,109000,114000,354305.2,114500,45,45
2018.06.29,114000,114500,341656.6,114500,47,41
2018.07.06,115500,114500,461632,118000,43,51
2018.07.13,114500,118000,322631.8,115000,45,48
2018.07.20,118000,115000,282614,119500,45,46
2018.07.27,115000,119500,398173.4,113000,44,58
2018.08.03,118500,113000,344183.6,128000,48,54
2018.08.10,113500,128000,1008219.6,127000,47,61
2018.08.17,126500,127000,490174.5,124000,43,79
2018.08.24,127000,124000,318288,125000,45,74
2018.08.31,124000,125000,513055.2,120000,43,73
2018.09.07,125000,120000,289868.6,120000,49,73
2018.09.14,119000,120000,336186.2,118500,51,91
2018.09.21,120500,118500,476836.8,119000,50,87
2018.09.28,119000,119000,252731.5,109000,49,72
2018.10.05,120000,109000,516841,101000,44,71
2018.10.12,107500,101000,549719.75,101000,49,69
2018.10.19,101000,101000,229618.6,90900,50,68
2018.10.26,101500,90900,478608.8,98200,44,81
2018.11.02,89900,98200,447944.2,100500,44,64
2018.11.09,97000,100500,348452,102500,45,77
2018.11.16,101000,102500,227609.2,108000,46,89
2018.11.23,102500,108000,234655.6,112500,45,85
2018.11.30,107500,112500,305336.2,114500,47,77
2018.12.07,114500,114500,300145.8,110000,47,84
2018.12.14,113000,110000,375602.6,104500,49,71
2018.12.21,110000,104500,317942.2,103000,50,84
2018.12.28,104500,103000,305223,103500,47,82
2019.01.04,103500,103500,239726.3333,102000,50,85
2019.01.11,105000,102000,331569,99600,46,78
2019.01.18,102000,99600,313697.2,102500,47,73
2019.01.25,99900,102500,339799.4,99600,49,67
2019.02.01,103000,99600,400010.8,98200,48,68
2019.02.08,100000,98200,311090.5,101500,47,81
2019.02.15,98500,101500,705694,99300,46,75
2019.02.22,102500,99300,319335.2,103500,48,73
2019.02.28,99400,103500,723656.25,107500,48,68
2019.03.08,105500,107500,549380.6,107500,49,69
2019.03.15,108000,107500,361017.6,104000,50,64
2019.03.22,108000,104000,352826.6,103500,52,63
2019.03.29,102000,103500,190939,102500,52,57
2019.04.05,103500,102500,226147.8,102500,54,55
2019.04.12,103000,102500,253199.2,117000,49,55
2019.04.19,104000,117000,879977.8,115000,48,63
2019.04.26,118000,115000,363814,128000,53,65
2019.05.03,115500,128000,712281.75,130000,51,64
2019.05.10,126000,130000,931141.75,124500,53,64
2019.05.17,130500,124500,1793488,124000,51,61
2019.05.24,126500,124000,725272.8,124500,51,55
2019.05.31,125000,124500,444975.4,120000,55,52
2019.06.07,123500,120000,502136.75,125000,49,61
2019.06.14,120000,125000,413712.4,126500,50,55
2019.06.21,125000,126500,393813,131500,51,60
2019.06.28,127000,131500,569168.4,133500,53,60
2019.07.05,132500,133500,363988.2,131500,53,56
2019.07.12,133500,131500,436813.4,135000,53,66
2019.07.19,132500,135000,452569.6,131000,54,56
2019.07.26,134500,131000,713504.2,128500,53,68
2019.08.02,130000,128500,364865.4,132000,52,62
2019.08.09,128000,132000,694542.2,129500,55,52
2019.08.16,133000,129500,316394,133000,55,65
2019.08.23,130500,133000,377534.8,134500,57,59
2019.08.30,130000,134500,376921,136000,59,60
2019.09.06,134000,136000,417692.2,133000,56,66
2019.09.11,135000,133000,572744.6667,135500,54,60
2019.09.20,134500,135500,405050.4,135500,57,54
2019.09.27,135000,135500,271085,133500,55,45
2019.10.04,134500,133500,211262.75,135000,53,50
2019.10.11,134000,135000,375464,132500,52,46
2019.10.18,136000,132500,442493,140000,55,55
2019.10.25,132500,140000,456817.4,145500,53,55
2019.11.01,142000,145500,545552,152000,56,47
2019.11.08,146500,152000,715803.4,155500,57,76
2019.11.15,153000,155500,443111.6,153000,57,71
2019.11.22,155500,153000,406032.6,155500,59,72
2019.11.29,153500,155500,329152.8,153500,55,57
2019.12.06,156000,153500,395127.2,151000,55,78
2019.12.13,154000,151000,486135,150000,56,48
2019.12.20,151000,150000,309394.6,153500,56,61
2019.12.27,151000,153500,415672.25,152500,55,73
2020.01.03,154000,152500,328160.6667,165000,55,86
2020.01.10,150500,165000,673149,168500,100,88
2020.01.17,165500,168500,395169,165500,75,74
2020.01.23,169000,165500,399358.75,159000,61,66
2020.01.31,160000,159000,383342.5,167500,60,69
2020.02.07,156000,167500,469955.6,180000,58,72
2020.02.14,167500,180000,783262.2,189500,62,84
2020.02.21,180000,189500,677112.2,172000,62,79
2020.02.28,184500,172000,742770.6,175500,58,71
2020.03.06,174500,175500,704373.6,159000,66,74
2020.03.13,171000,159000,1025359,149500,65,73
2020.03.20,162000,149500,1500790.8,152500,62,100
2020.03.27,138000,152500,1196763.4,157500,61,92
2020.04.03,149500,157500,818912.4,161000,63,92
2020.04.10,158500,161000,789429.8,172000,63,90
2020.04.17,161000,172000,713584.25,183000,63,93
2020.04.24,172500,183000,1072211.6,184000,64,80
2020.04.29,183000,184000,683371,206000,64,90
