날짜,시가,종가,평균거래량,다음주 종가,웹,유튜브
2018.01.05,150500,149000,644472.5,154000,62,31
2018.01.12,148500,154000,528754.4,162000,74,35
2018.01.19,154000,162000,416219.4,152500,78,39
2018.01.26,162500,152500,759746.2,162500,76,36
2018.02.02,153000,162500,636127.2,155000,75,37
2018.02.09,162500,155000,703825.6,154500,85,42
2018.02.14,155500,154500,449481.3333,159000,69,34
2018.02.23,156500,159000,327307.6,156000,82,41
2018.03.02,159000,156000,468690.5,154000,67,38
2018.03.09,155500,154000,466800.8,157500,86,42
2018.03.16,154000,157500,425208,151500,87,43
2018.03.23,152500,151500,449290.4,143500,80,38
2018.03.30,151000,143500,822802.4,152500,78,32
2018.04.06,144500,152500,961664.6,150500,80,34
2018.04.13,152000,150500,348482,160000,62,34
2018.04.20,151000,160000,446465.4,158000,61,36
2018.04.27,160000,158000,617167.4,158000,70,34
2018.05.04,159000,158000,375640.25,153000,59,33
2018.05.11,158500,153000,544057.75,150000,56,29
2018.05.18,153500,150000,455720.8,139000,76,35
2018.05.25,149500,139000,870150.5,140000,65,31
2018.06.01,139000,140000,569882.8,141000,72,30
2018.06.08,140000,141000,582299.5,134000,73,36
2018.06.15,140000,134000,681554.75,130000,62,37
2018.06.22,134500,130000,639826.4,125500,71,37
2018.06.29,129500,125500,760189.2,123500,60,32
2018.07.06,125000,123500,599821.6,122500,66,31
2018.07.13,124000,122500,387145.6,127000,61,44
2018.07.20,122500,127000,415792.4,129500,72,36
2018.07.27,127500,129500,458934.2,124000,75,34
2018.08.03,129000,124000,324881.4,126000,62,39
2018.08.10,124500,126000,429086.6,126500,68,36
2018.08.17,125000,126500,345078.25,124500,63,37
2018.08.24,127500,124500,288398,125000,56,32
2018.08.31,125000,125000,370892.8,133000,69,32
2018.09.07,124500,133000,632248.6,129500,85,41
2018.09.14,131500,129500,369304,129000,82,42
2018.09.21,129000,129000,447654.8,129500,68,40
2018.09.28,130000,129500,380813.5,124500,64,32
2018.10.05,130000,124500,351028.5,115500,76,46
2018.10.12,123500,115500,574439.5,115500,67,49
2018.10.19,116500,115500,557468.8,108000,76,40
2018.10.26,115000,108000,846136.6,110000,74,48
2018.11.02,106000,110000,626614,105000,86,50
2018.11.09,107000,105000,714550.8,103000,72,56
2018.11.16,105000,103000,527540.4,93700,80,54
2018.11.23,103000,93700,963894.6,107000,77,53
2018.11.30,93600,107000,1306047.2,111000,100,100
2018.12.07,108500,111000,663614.6,116500,99,88
2018.12.14,108500,116500,785202.6,122500,93,84
2018.12.21,115000,122500,731993.4,118500,89,63
2018.12.28,122000,118500,427170.5,119500,80,66
2019.01.04,117500,119500,833687.3333,123000,86,65
2019.01.11,121000,123000,589258.2,131000,85,74
2019.01.18,122500,131000,518575.2,128500,79,57
2019.01.25,132000,128500,567981.8,129500,89,56
2019.02.01,128500,129500,470607.6,125500,83,48
2019.02.08,128500,125500,447778.5,121000,71,56
2019.02.15,126000,121000,601751.6,121000,90,45
2019.02.22,121000,121000,541077,126500,79,55
2019.02.28,120500,126500,818900.25,120000,83,47
2019.03.08,125000,120000,644937.4,121000,93,54
2019.03.15,121000,121000,780955.4,123500,85,48
2019.03.22,122000,123500,362338.2,119500,89,55
2019.03.29,121000,119500,379340.8,126000,82,46
2019.04.05,120000,126000,464719.4,126500,89,53
2019.04.12,126500,126500,392174.8,134000,84,48
2019.04.19,126000,134000,674214.4,135500,82,58
2019.04.26,133000,135500,672436.4,137500,76,59
2019.05.03,136500,137500,561016.75,130000,75,49
2019.05.10,134500,130000,581141,125500,79,46
2019.05.17,128000,125500,525065.8,130500,69,57
2019.05.24,125500,130500,645379,134500,76,64
2019.05.31,130000,134500,796979.4,140000,76,64
2019.06.07,134000,140000,584478.25,140500,66,78
2019.06.14,142000,140500,530828.2,140500,71,62
2019.06.21,140000,140500,261264.6,140000,80,61
2019.06.28,142000,140000,287956.6,141500,77,67
2019.07.05,141500,141500,399958.2,139500,79,70
2019.07.12,140500,139500,592291.4,134500,81,90
2019.07.19,139500,134500,455575.2,130500,86,61
2019.07.26,134000,130500,632747.4,127500,76,62
2019.08.02,130000,127500,469801.4,132500,91,69
2019.08.09,127500,132500,817907.4,128000,78,47
2019.08.16,131000,128000,412714.5,126000,76,33
2019.08.23,127500,126000,398246.6,128500,81,55
2019.08.30,124000,128500,605818.8,127500,86,59
2019.09.06,128000,127500,449390.4,129000,81,47
2019.09.11,127500,129000,531162.6667,129500,89,57
2019.09.20,128500,129500,652628.8,133500,82,60
2019.09.27,129500,133500,574538.8,126500,80,50
2019.10.04,133500,126500,438785.75,126000,75,57
2019.10.11,128000,126000,447753.5,123000,78,50
2019.10.18,125000,123000,658773,123500,85,56
2019.10.25,124000,123500,609317,124000,86,66
2019.11.01,124500,124000,534803.2,124000,81,70
2019.11.08,123500,124000,563887.6,125500,89,55
2019.11.15,124000,125500,501339,123500,75,49
2019.11.22,125000,123500,631826.4,121000,82,40
2019.11.29,124000,121000,990243.4,118500,90,68
2019.12.06,121000,118500,1255265.6,121000,81,59
2019.12.13,119500,121000,1792452.2,124000,79,62
2019.12.20,120500,124000,1192450.8,120500,73,55
2019.12.27,124000,120500,759666.5,116000,74,64
2020.01.03,120500,116000,723171,113500,74,52
2020.01.10,116000,113500,865122.4,118500,72,66
2020.01.17,113500,118500,842007.6,130500,77,52
2020.01.23,119500,130500,1564321,125000,84,57
2020.01.31,127000,125000,1307529.25,131000,75,54
2020.02.07,123000,131000,1233214.6,133500,82,65
2020.02.14,129500,133500,923793.8,128000,62,41
2020.02.21,133500,128000,694799.4,115000,46,34
2020.02.28,124500,115000,1053339.4,110500,50,26
2020.03.06,116000,110500,1360059.8,87200,54,35
2020.03.13,108000,87200,2660697,71100,50,36
2020.03.20,88300,71100,2866820.6,86400,67,61
2020.03.27,67200,86400,3230657.2,86300,73,36
2020.04.03,82800,86300,1735809.2,99700,90,75
2020.04.10,86500,99700,2534047,100500,97,63
2020.04.17,98800,100500,1437889,90100,90,48
2020.04.24,100000,90100,2844798,93600,85,72
2020.04.29,90300,93600,1287217.667,94500,92,45
